"Company Name","Tradestyle","D-U-N-S® Number","Address Line 1","Address Line 2","Address Line 3","City","State Or Province","Postal Code","Country/Region","Phone","Company Email","Fax","URL","Sales (USD)","Pre Tax Profit (USD)","Assets (USD)","Liabilities (USD)","Employees (Single Site)","Employees (Total)","Business Description","Ownership Type","D&B Legal Status Type","Entity Type","Is Headquarters","Ticker","Parent Company","Parent Country/Region","Global Ultimate Company","Global Ultimate Country/Region","D&B Hoovers Industry","US 8-Digit SIC Code","US 8-Digit SIC Description","US SIC 1987 Code","US SIC 1987 Description","NAICS 2022 Code","NAICS 2022 Description","UK SIC 2007 Code","UK SIC 2007 Description","ISIC Rev 4 Code","ISIC Rev 4 Description","NACE Rev 2 Code","NACE Rev 2 Description","ANZSIC 2006 Code","ANZSIC 2006 Description","TPS Flag","Key ID","Source","Direct Marketing Status"
"HOPE ACADEMY, INC.","Hope Academy","033352464","2300 Chicago Ave","","","Minneapolis","Minnesota","55404-3834","United States","1-612-721-6294","","","http://www.hopeacademympls.org","3.1800501E7","","2.6555935E7","","85","85","Hope Academy, Inc. is a membership organization, not elsewhere classified.","Nonprofit","Corporation","Independent","false","","","","","","Associations and Organizations","86999904","Charitable organization","8699","Membership organizations, Not Elsewhere Classified","813410","Civic and Social Organizations","9499","Activities of other membership organisations n.e.c.","9499","Activities of other membership organizations n.e.c.","9499","Activities of other membership organisations n.e.c.","9559","Other Interest Group Services Not Elsewhere Classified","false","85990625","D&B","Has Not Opted Out of Direct Marketing"
"Highland Properties LLC","","117698800","5233 Lochloy Dr","","","Minneapolis","Minnesota","55436-2023","United States","1-218-326-5566","","","","1.2538813E7","","","","","85","Highland Properties Llc is primarily engaged in holding or owning securities of companies other than banks, for the sole purpose of exercising some degree of control over the activities of the companies whose securities they hold.","Private","Corporation","Parent","true","","Highland Properties LLC","United States","Highland Properties LLC","United States","Holding Companies","67199901","Investment holding companies, except banks","6719","Offices of Holding Companies, Not Elsewhere Classified","551112","Offices of Other Holding Companies","6420","Activities of holding companies","642","Activities of holding companies","6420","Activities of holding companies","6240","Financial Asset Investing","false","539682875","D&B","Has Not Opted Out of Direct Marketing"
"Production Engineering Corporation","","006248173","3515 Marshall St Ne","","","Minneapolis","Minnesota","55418-1098","United States","1-612-788-9123","","","http://www.productionengineeringcorp.com","1.4E7","","","","70","85","Production Engineering Corporation is primarily engaged in performing the following types of services on metals, for the trade: (1) enameling, lacquering, and varnishing metal products; (2) hot dip galvanizing of mill sheets, plates and bars, castings, and formed products fabricated of iron and steel; hot dip coating such items with aluminum, lead, or zinc; retinning cans and utensils; (3) engraving, chasing and etching jewelry, silverware, notarial and other seals, and other metal products for purposes other than printing; and (4) other metal services, not elsewhere classified. Also included in this industry are establishments which perform these types of activities on their own account on purchased metals or formed products.","Private","Corporation","Parent","true","","Production Engineering Corporation","United States","Production Engineering Corporation","United States","Metal Products Manufacturing","34790215","Painting of Metal products","3479","Coating, Engraving, and Allied Services, Not Elsewhere Classified","332812","Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers","2561","Treatment and coating of metals","2592","Treatment and coating of metals; machining","2561","Treatment and coating of metals","2293","Metal Coating and Finishing","false","44408219","D&B","Has Not Opted Out of Direct Marketing"
"Tri-State Drilling, Inc.","T S DRILLING","006213078","16940 Highway 55","","","Minneapolis","Minnesota","55446-3014","United States","1-763-553-1234","","","http://www.tristatedrilling.com","3.7359535E7","","","","77","85","Tri-State Drilling, Inc. is a special trade contractor primarily engaged in  the construction of heavy projects, not elsewhere classified.","Private","Corporation","Parent","true","","Tri-State Drilling, Inc.","United States","Tri-State Drilling, Inc.","United States","Specialty Construction Trade Contractors","16290111","Pier construction","1629","Heavy Construction, Not Elsewhere Classified","237990","Other Heavy and Civil Engineering Construction","4299","Construction of other civil engineering projects n.e.c.","4220","Construction of utility projects","4291","Construction of water projects","3109","Other Heavy and Civil Engineering Construction","false","42917914","D&B","Has Not Opted Out of Direct Marketing"
"ST. CLAIR SCHOOLS","Independent School District #75","100038736","121 Main St W","","","Saint Clair","Minnesota","56080-1100","United States","1-507-245-3501","","","http://stclair.new.rschooltoday.com","1.4302281E7","","3.8323135E7","","80","85","Elementary and secondary schools furnishing academic courses, ordinarily for kindergarten through grade 12. Included in this industry are parochial schools and military academies furnishing academic courses for kindergarten through grade 12, and secondary schools which furnish both academic and technical courses.","Private","Corporation","Parent","true","","ST. CLAIR SCHOOLS","United States","ST. CLAIR SCHOOLS","United States","Primary and Secondary Education","82110304","Public junior high school","8211","Elementary and Secondary Schools","611110","Elementary and Secondary Schools","8520","Primary education","8521","General secondary education","8531","General secondary education","802","School Education","false","86117213","D&B","Has Not Opted Out of Direct Marketing"
"Intercomp Co.","","089476055","3839 County Road 116","","","Medina","Minnesota","55340-9342","United States","1-763-476-2531","","","http://www.intercompcompany.com","2.4084522E7","","","","85","85","Intercomp Co. is primarily engaged in manufacturing weighing and force-measuring machines and devices of all types.","Private","Corporation","Independent","false","","","","","","Machinery and Equipment Manufacturing","35969904","Industrial scales","3596","Scales and Balances, Except Laboratory","333998","All Other Miscellaneous General Purpose Machinery Manufacturing","2829","Manufacture of other general-purpose machinery n.e.c.","2819","Manufacture of other general-purpose machinery","2829","Manufacture of other general-purpose machinery n.e.c.","2499","Other Machinery and Equipment Manufacturing Not Elsewhere Classified","false","179724493","D&B","Has Not Opted Out of Direct Marketing"
"Greystone Construction Company","","177944477","2995 Winners Cir Ste 200","","","Shakopee","Minnesota","55379-5601","United States","1-952-496-2227","","","http://www.greystoneconstruction.com","4.1771645E7","","","","85","85","Greystone Construction Company is a general contractor primarily engaged in the construction (including new work, additions, alterations, remodeling, and repair) of industrial buildings and warehouses, such as aluminum plants, automobile assembly plants, pharmaceutical manufacturing plants, and commercial warehouses.","Private","Corporation","Independent","false","","","","","","Residential and Commercial Building Construction","15410000","Industrial buildings and warehouses","1541","General Contractors-Industrial Buildings and Warehouses","236220","Commercial and Institutional Building Construction","41201","Construction of commercial buildings","4100","Construction of buildings","4120","Construction of buildings","3020","Non-Residential Building Construction","false","205398119","D&B","Opts Out of Direct Marketing"
"Fedtech, Inc.","Fedtech Laser Cutting Services, Fedtech","963221791","4763 Mustang Cir","","","Mounds View","Minnesota","55112-1554","United States","1-763-784-4600","","","http://www.fedtech.com","1.8057789E7","","","","85","85","Fedtech, Inc. is a special trade contractor primarily engaged in  construction work, not elsewhere classified, such as construction of swimming pools and fences, erection and installation of ornamental metal work, house moving, shoring work, waterproofing, dampproofing, fireproofing, sandblasting, and steam cleaning of building exteriors.","Private","Corporation","Independent","false","","","","","","Specialty Construction Trade Contractors","17999906","Core drilling and cutting","1799","Special Trade Contractors, Not Elsewhere Classified","238990","All Other Specialty Trade Contractors","4399","Other specialised construction activities n.e.c.","4390","Other specialized construction activities","4399","Other specialised construction activities n.e.c.","3299","Other Construction Services Not Elsewhere Classified","false","205397036","D&B","Opts Out of Direct Marketing"
"Meadowland Farmers Coop.","","022842579","25861 Us Highway 14","","","Lamberton","Minnesota","56152-1146","United States","1-507-752-7335","","","http://www.meadowlandfarmerscoop.com","1.90895E7","","","","22","84","Meadowland Farmers Coop. is primarily engaged in buying and/or marketing grain (such as corn, wheat, oats, barley, and unpolished rice); dry beans; soybeans, and other inedible beans. Country grain elevators primarily engaged in buying or receiving grain from farmers are included, as well as terminal elevators and other merchants marketing grain.","Private","Corporation","Parent","true","","Meadowland Farmers Coop.","United States","Meadowland Farmers Coop.","United States","Grocery Wholesale","51539901","Grain elevators","5153","Grain and Field Beans","424510","Grain and Field Bean Merchant Wholesalers","4621","Wholesale of grain, unmanufactured tobacco, seeds and animal feeds","4620","Wholesale of agricultural raw materials and live animals","4621","Wholesale of grain, unmanufactured tobacco, seeds and animal feeds","3312","Cereal Grain Wholesaling","false","80577363","D&B","Has Not Opted Out of Direct Marketing"
"Concast, Inc.","","050732155","1010 Northstar Dr","","","Zumbrota","Minnesota","55992-1093","United States","1-507-732-4095","","","http://www.concastinc.com","1.0630569E7","","","","40","84","Concast, Inc. is primarily engaged in manufacturing concrete products, except block and brick, from a combination of cement and aggregate.","Private","Corporation","Parent","true","","Concast, Inc.","United States","Concast, Inc.","United States","Cement and Concrete Product Manufacturing","32720303","Concrete products, precast, nec","3272","Concrete Products, Except Block and Brick","327390","Other Concrete Product Manufacturing","2369","Manufacture of other articles of concrete, plaster and cement","2395","Manufacture of articles of concrete, cement and plaster","2369","Manufacture of other articles of concrete, plaster and cement","2034","Concrete Product Manufacturing","false","97967581","D&B","Has Not Opted Out of Direct Marketing"
"Guardian Energy, LLC","","020182670","4745 380Th Ave","","","Janesville","Minnesota","56048-1932","United States","1-507-234-5000","","","http://www.guardiannrg.com","3.33876E7","","","","50","84","Guardian Energy, Llc is primarily engaged in manufacturing industrial organic chemicals, not elsewhere classified. Important products of this industry include: (1) aliphatic and other acyclic organic chemicals, such as ethylene, butylene, and butadiene; acetic, chloroacetic, adipic, formic, oxalic, and tartaric acids and their metallic salts; chloral, formaldehyde, and methylamine; (2) solvents, such as amyl, butyl, and ethyl alcohols; methanol; amyl, butyl, and ethyl acetates; ethyl ether, ethylene glycol ether, and diethylene glycol ether; acetone, carbon disulfide and chlorinated solvents, such as carbon tetrachloride, perchloroethylene, and trichloroethylene; (3) polyhydric alcohols, such as ethylene glycol, sorbitol, pentaerythritol, synthetic glycerin; (4) synthetic perfume and flavoring materials, such as coumarin, methyl salicylate, saccharin, citral, citronellal, synthetic geraniol, ionone, terpineol, and synthetic vanillin; (5) rubber processing chemicals, such as accelerators and antioxidants, both cyclic and acyclic; (6) plasticizers, both cyclic and acyclic, such as esters of phosphoric acid, phthalic anhydride, adipic acid, lauric acid, oleic acid, sebacic acid, and stearic acid; (7) synthetic tanning agents, such as naphthalene sulfonic acid condensates; (8) chemical warfare gases; and (9) esters, amines, etc., of polyhydric alcohols and fatty and other acids.","Private","Corporation","Parent","true","","Guardian Energy, LLC","United States","Guardian Energy, LLC","United States","Basic Chemical Manufacturing","28699922","High purity grade chemicals, organic","2869","Industrial Organic Chemicals, Not Elsewhere Classified","325199","All Other Basic Organic Chemical Manufacturing","2014","Manufacture of other organic basic chemicals","2011","Manufacture of basic chemicals","2014","Manufacture of other organic basic chemicals","1812","Basic Organic Chemical Manufacturing","false","106846373","D&B","Has Not Opted Out of Direct Marketing"
"Graphic Systems LLC","","020479267","2632 26Th Ave S","","","Minneapolis","Minnesota","55406-1502","United States","1-612-721-6100","","","http://www.graphicsystems.com","1.0357507E7","","","","84","84","Graphic Systems Llc is primarily engaged in gravure printing.","Private","Corporation","Independent","false","","","","","","Printing","27549914","Posters: gravure printing","2754","Commercial Printing, Gravure","323111","Commercial Printing (except Screen and Books)","18129","Printing (other than printing of newspapers and printing on labels and tags) n.e.c.","1811","Printing","1812","Other printing","1611","Printing","false","45637486","D&B","Has Not Opted Out of Direct Marketing"
"Minnesota Valley Electric Cooperative","MVEC","006961445","125 Minnesota Valley Electric Dr","","","Jordan","Minnesota","55352-9369","United States","1-952-492-2313","","","http://www.mvec.net","1.0856474E8","","2.5012292E8","","84","84","Minnesota Valley Electric Cooperative is primarily engaged in the generation, transmission, and/or distribution of electric energy for sale.","Private","Corporation","Independent","false","","","","","","Electricity Generation and Distribution","49119901","Distribution, electric power","4911","Electric Services","221122","Electric Power Distribution","351","Electric power generation, transmission and distribution","3510","Electric power generation, transmission and distribution","3513","Distribution of electricity","26","Electricity Supply","false","111316226","D&B","Has Not Opted Out of Direct Marketing"
"The Saint Paul Foundation, Incorporated","Minnesota Community Foundation, Minnesota Philanthropist Partners, Saint Paul & Minnesota Community Foundations, The, MINNESOTA PHILANTHROPHY PARTNERS, SAINT PAUL FOUNDATION, THE","157518507","101 5Th St E Ste 2400","","","Saint Paul","Minnesota","55101-1797","United States","1-651-224-5463","","","http://www.spmcf.org","1.1441702E8","","1.5545972E9","","84","84","The Saint Paul Foundation, Incorporated is a membership organization engaged in civic, social, or fraternal activities.","Nonprofit","Corporation","Independent","false","","","","","","Associations and Organizations","86410102","Community membership club","8641","Civic, Social, and Fraternal Associations","813410","Civic and Social Organizations","9499","Activities of other membership organisations n.e.c.","9499","Activities of other membership organizations n.e.c.","9499","Activities of other membership organisations n.e.c.","9559","Other Interest Group Services Not Elsewhere Classified","false","45238330","D&B","Has Not Opted Out of Direct Marketing"
"Whitebox Advisors LLC","Whitebox","114668697","3033 Excelsior Blvd Ste 500","","","Minneapolis","Minnesota","55416-4682","United States","1-612-253-6001","","","http://www.whiteboxadvisors.com","2.4771982E7","","","","71","84","Whitebox Advisors Llc is primarily engaged in furnishing investment information and advice to companies and individuals concerning securities and commodities on a contract or fee basis.","Private","Corporation","Parent","true","","Whitebox Advisors LLC","United States","Whitebox Advisors LLC","United States","Investment Services","62829902","Investment advisory service","6282","Investment Advice","523940","Portfolio Management and Investment Advice","6619","Other activities auxiliary to financial services, except insurance and pension funding","6619","Other activities auxiliary to financial service activities","6619","Other activities auxiliary to financial services, except insurance and pension funding","6419","Other Auxiliary Finance and Investment Services","false","94160219","D&B","Has Not Opted Out of Direct Marketing"
"Cherokee Manufacturing, Inc.","Cherokee Enterprises","086111689","150 Bridgepoint Dr Ste 200","","","South Saint Paul","Minnesota","55075-2500","United States","1-651-451-6568","","","http://www.cherokeemfg.com","1.6713944999999998E7","","","","50","83","Cherokee Manufacturing, Inc. is primarily engaged in drawing wire from purchased iron or steel rods, bars, or wire and which may be engaged in the further manufacture of products made from wire;  manufacturing steel nails and spikes from purchased materials are also included.","Private","Corporation","Parent","true","","Cherokee Manufacturing, Inc.","United States","Cherokee Manufacturing, Inc.","United States","Metal Products Manufacturing","33150302","Baskets, steel wire","3315","Steel Wiredrawing and Steel Nails and Spikes","331222","Steel Wire Drawing","2434","Cold drawing of wire","2410","Manufacture of basic iron and steel","2434","Cold drawing of wire","2291","Spring and Wire Product Manufacturing","false","126751128","D&B","Has Not Opted Out of Direct Marketing"
"Winsted Company LLC","Winsted Custom Division, Winsted Custom Wood, Winsted Limited","046713889","2999 Ames Crossing Rd Ste 300","","","Eagan","Minnesota","55121-2498","United States","1-952-944-9050","","","http://www.winsted.com","2.3361149E7","","","","35","83","Winsted Company Llc is primarily engaged in the wholesale distribution of furniture, including bedsprings, mattresses, and other household furniture; office furniture; and furniture for public parks and buildings.","Private","Corporation","Parent","true","","Winsted Company LLC","United States","Winsted Company LLC","United States","Home Furnishings Wholesale","50210000","Furniture","5021","Furniture","423210","Furniture Merchant Wholesalers","4647","Wholesale of furniture, carpets and lighting equipment","4649","Wholesale of other household goods","4647","Wholesale of furniture, carpets and lighting equipment","3731","Furniture and Floor Covering Wholesaling","false","45677409","D&B","Has Not Opted Out of Direct Marketing"
"City of Cloquet","CLOQUET","076500511","101 14Th St","","","Cloquet","Minnesota","55720-1657","United States","1-218-879-3347","","","http://www.cloquetmn.gov","1.1754858E7","","1.0557489E8","","32","83","Offices of chief executives and their advisory and interdepartmental committees and commissions.","Public Sector","Corporation","Parent","true","","City of Cloquet","United States","City of Cloquet","United States","Executive and Legislature","91110201","City and town managers' office","9111","Executive Offices","921110","Executive Offices","8411","General public administration activities","8411","General public administration activities","8411","General public administration activities","75","Public Administration","false","127839877","D&B","Has Not Opted Out of Direct Marketing"
"Bernick's Full-Line Vending, Inc.","Bernick's Pepsi-Cola","028273084","801 Sundial Dr","","","Waite Park","Minnesota","56387-1533","United States","1-800-289-5558","","","http://www.bernicks.com","2.2960186E7","","","","30","83","Bernick's Full-Line Vending, Inc. is primarily engaged in the wholesale distribution of soft drinks, and in bottling and distributing natural spring and mineral waters, are classified in this industry.","Private","Corporation","Parent","true","","Bernick's Full-Line Vending, Inc.","United States","Bernick's Full-Line Vending, Inc.","United States","Grocery Wholesale","51490504","Soft drinks","5149","Groceries and Related Products, Not Elsewhere Classified","424490","Other Grocery and Related Products Merchant Wholesalers","4638","Wholesale of other food, including fish, crustaceans and molluscs","4630","Wholesale of food, beverages and tobacco","4634","Wholesale of alcoholic and other beverages","3609","Other Grocery Wholesaling","false","121422558","D&B","Has Not Opted Out of Direct Marketing"
"WSB LLC","","103181438","701 Xenia Ave S Ste 300","","","Minneapolis","Minnesota","55416-1030","United States","1-763-541-4800","","","","4.8727207E7","","","","28","83","Wsb Llc is primarily engaged in providing professional engineering services. Establishments primarily providing and supervising their own engineering staff on temporary contract to other firms are included in this industry.","Private","Corporation","Parent","true","","WSB LLC","United States","WSB LLC","United States","Architecture and Engineering","87119903","Consulting engineer","8711","Engineering Services","541330","Engineering Services","71121","Engineering design activities for industrial process and production","7110","Architectural and engineering activities and related technical consultancy","7112","Engineering activities and related technical consultancy","6923","Engineering Design and Engineering Consulting Services","false","713144682","D&B","Has Not Opted Out of Direct Marketing"
"Planned Parenthood North Central States","PLANNED PARENTHOOD NORTH CENTRAL STATES - IOWA, PLANNED PARENTHOOD NORTH CENTRAL STATES - PPH, Planned Parenthood North Central States - Minnesota","118114530","671 Vandalia St","","","Saint Paul","Minnesota","55114-1312","United States","","","","http://www.plannedparenthood.org","6.9692192E7","","2.2053614E7","","83","83","Planned Parenthood North Central States is primarily engaged in outpatient care of a specialized nature with permanent facilities and with medical staff to provide diagnosis, treatment, or both for patients who are ambulatory and do not require inpatient care.","Nonprofit","Corporation","Independent","false","","","","","","Outpatient Care","80930303","Family planning clinic","8093","Specialty Outpatient Facilities, Not Elsewhere Classified","621410","Family Planning Centers","8690","Other human health activities","8690","Other human health activities","8622","Specialist medical practice activities","8599","Other Health Care Services Not Elsewhere Classified","false","576156039","D&B","Has Not Opted Out of Direct Marketing"
"I SPACE FURNITURE, INC.","iSpace Environments","807848437","3701 Wayzata Blvd Ste 425","","","Minneapolis","Minnesota","55416-7504","United States","1-612-922-1300","","","http://www.ispaceenvironments.com","4.8537998E7","","2.0879E7","","83","83","I Space Furniture, Inc. is primarily engaged in the retail sale of household furniture. These stores may also sell home furnishings, major appliances, and floor coverings.","Private","Corporation","Independent","false","","","","","","Home Furnishings Retail","57129904","Office furniture","5712","Furniture Stores","449110","Furniture Retailers","47599","Retail sale of furniture, lighting equipment and other household articles (other than musical instruments) n.e.c., in specialised stores","4759","Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","4759","Retail sale of furniture, lighting equipment and other household articles in specialised stores","4211","Furniture Retailing","false","111254770","D&B","Has Not Opted Out of Direct Marketing"
"Meritex Enterprises, Inc.","Meritex Company, The","619439912","10 2Nd St Ne","","","Minneapolis","Minnesota","55413-2269","United States","1-651-855-9700","","","http://www.meritex.com","2.7489254E7","","","","31","83","Meritex Enterprises, Inc. is primarily engaged in the operation of nonresidential buildings.","Private","Corporation","Parent","true","","Meritex Enterprises, Inc.","United States","Meritex Enterprises, Inc.","United States","Commercial Real Estate Leasing","65120100","Commercial and industrial building operation","6512","Operators of Nonresidential Buildings","531120","Lessors of Nonresidential Buildings (except Miniwarehouses)","68202","Letting and operating of conference and exhibition centres","6810","Real estate activities with own or leased property","6820","Renting and operating of own or leased real estate","6712","Non-Residential Property Operators","false","138731346","D&B","Has Not Opted Out of Direct Marketing"
"Community of Peace Academy","","933020430","471 Magnolia Ave E","","","Saint Paul","Minnesota","55130-3849","United States","1-651-776-5151","","","http://www.cpapk12.org","1.8210821E7","","2.9266348E7","","83","83","Elementary and secondary schools furnishing academic courses, ordinarily for kindergarten through grade 12. Included in this industry are parochial schools and military academies furnishing academic courses for kindergarten through grade 12, and secondary schools which furnish both academic and technical courses.","Nonprofit","Corporation","Independent","false","","","","","","Primary and Secondary Education","82110304","Public junior high school","8211","Elementary and Secondary Schools","611110","Elementary and Secondary Schools","8520","Primary education","8521","General secondary education","8531","General secondary education","802","School Education","false","44954763","D&B","Has Not Opted Out of Direct Marketing"
"ABRAHAM TECHNICAL SERVICES, INC.","ABETECH, WORKSPACE MOBILITY","799276647","12560 Fletcher Ln Ste 100","","","Rogers","Minnesota","55374-4709","United States","1-888-682-3113","","","http://www.abetech.com","4.3496979E7","","","","65","82","Abraham Technical Services architects, integrates and supports supply chain and logistics solutions that optimize the flow and management of people, inventory and assets through the use of bar code, RFID and enterprise mobility technology. AbeTech offerings span industrial wireless networking, enterprise mobility computing, advanced data collection, RFID systems and automated labeling capabilities.","Private","Corporation","Parent","true","","ABRAHAM TECHNICAL SERVICES, INC.","United States","ABRAHAM TECHNICAL SERVICES, INC.","United States","Computer, Office Equipment and Software Merchant Wholesalers","50450000","Computers, peripherals, and software","5045","Computers and Computer Peripheral Equipment and Software","423430","Computer and Computer Peripheral Equipment and Software Merchant Wholesalers","4651","Wholesale of computers, computer peripheral equipment and software","4651","Wholesale of computers, computer peripheral equipment and software","4651","Wholesale of computers, computer peripheral equipment and software","3492","Computer and Computer Peripheral Wholesaling","false","44546963","D&B","Has Not Opted Out of Direct Marketing"
"Blue Earth Valley Communications, Inc.","","608869269","123 W 7Th St","","","Blue Earth","Minnesota","56013-1300","United States","1-507-526-2822","","","http://www.bevcomm.com","1.8310225E7","","","","16","82","Blue Earth Valley Communications, Inc. is primarily engaged in furnishing business services, not elsewhere classified, such as bondspersons, drafting services, lecture bureaus, notaries public, sign painting, speakers' bureaus, water softening services, and auctioneering services, on a commission or fee basis.","Private","Corporation","Parent","true","","Blue Earth Valley Communications, Inc.","United States","Blue Earth Valley Communications, Inc.","United States","Miscellaneous Professional Services","73891000","Telephone services","7389","Business Services, Not Elsewhere Classified","561421","Telephone Answering Services","82","Office administrative, office support and other business support activities","8299","Other business support service activities n.e.c.","8220","Activities of call centres","6999","Other Professional, Scientific and Technical Services Not Elsewhere Classified","false","139787358","D&B","Has Not Opted Out of Direct Marketing"
"Granite Falls Energy, LLC","","109127378","15045 Highway 23 Se","","","Granite Falls","Minnesota","56241-1946","United States","1-320-564-3100","","","http://www.granitefallsenergy.com","3.0961539E8","2.6029906E7","1.4513692E8","","40","82","Granite Falls Energy, Llc is primarily engaged in manufacturing industrial organic chemicals, not elsewhere classified. Important products of this industry include: (1) aliphatic and other acyclic organic chemicals, such as ethylene, butylene, and butadiene; acetic, chloroacetic, adipic, formic, oxalic, and tartaric acids and their metallic salts; chloral, formaldehyde, and methylamine; (2) solvents, such as amyl, butyl, and ethyl alcohols; methanol; amyl, butyl, and ethyl acetates; ethyl ether, ethylene glycol ether, and diethylene glycol ether; acetone, carbon disulfide and chlorinated solvents, such as carbon tetrachloride, perchloroethylene, and trichloroethylene; (3) polyhydric alcohols, such as ethylene glycol, sorbitol, pentaerythritol, synthetic glycerin; (4) synthetic perfume and flavoring materials, such as coumarin, methyl salicylate, saccharin, citral, citronellal, synthetic geraniol, ionone, terpineol, and synthetic vanillin; (5) rubber processing chemicals, such as accelerators and antioxidants, both cyclic and acyclic; (6) plasticizers, both cyclic and acyclic, such as esters of phosphoric acid, phthalic anhydride, adipic acid, lauric acid, oleic acid, sebacic acid, and stearic acid; (7) synthetic tanning agents, such as naphthalene sulfonic acid condensates; (8) chemical warfare gases; and (9) esters, amines, etc., of polyhydric alcohols and fatty and other acids.","Public","Corporation","Parent","true","GFGY","Granite Falls Energy, LLC","United States","Granite Falls Energy, LLC","United States","Basic Chemical Manufacturing","28690104","Ethyl alcohol, ethanol","2869","Industrial Organic Chemicals, Not Elsewhere Classified","325193","Ethyl Alcohol Manufacturing","2014","Manufacture of other organic basic chemicals","2011","Manufacture of basic chemicals","2014","Manufacture of other organic basic chemicals","1812","Basic Organic Chemical Manufacturing","false","84915358","D&B","Has Not Opted Out of Direct Marketing"
"Topline Federal Credit Union","","039804257","9353 Jefferson Hwy","","","Maple Grove","Minnesota","55369-4240","United States","1-763-391-9494","","","http://www.toplinecu.com","4.2876774E7","","8.0132397E8","","69","82","Topline Federal Credit Union is cooperative thrift and loan association (accepting deposits) organized under Federal charter to finance credit needs of its members.","Private","Corporation","Parent","true","","Topline Federal Credit Union","United States","Topline Federal Credit Union","United States","Banking","60610000","Federal credit unions","6061","Credit Unions, Federally Chartered","522130","Credit Unions","64921","Credit granting by non-deposit taking finance houses and other specialist consumer credit grantors","6419","Other monetary intermediation","6419","Other monetary intermediation","6223","Credit Union Operation","false","98929533","D&B","Has Not Opted Out of Direct Marketing"
"Chemstar Products Company","","057607822","3232 E 40Th St","","","Minneapolis","Minnesota","55406-3221","United States","1-612-722-0079","","","http://www.chemstar.com","4.3969372E7","","","","12","82","Chemstar Products Company is primarily engaged in milling corn or sorghum grain (milo) by the wet process, and producing starch, syrup, oil, sugar, and by-products, such as gluten feed and meal. Also This also includes manufacturing starch from other vegetable sources (e.g., potatoes, wheat).","Private","Corporation","Parent","true","","Chemstar Products Company","United States","Chemstar Products Company","United States","Food Manufacturing","20460103","Industrial starch","2046","Wet Corn Milling","311221","Wet Corn Milling and Starch Manufacturing","1062","Manufacture of starches and starch products","1062","Manufacture of starches and starch products","1062","Manufacture of starches and starch products","1161","Grain Mill Product Manufacturing","false","246970","D&B","Has Not Opted Out of Direct Marketing"
"ANIP Acquisition Company","ANI Pharmaceuticals","145588013","210 W Main St","","","Baudette","Minnesota","56623-2467","United States","1-218-634-3500","","","","1.0026599E7","","","","10","81","Anip Acquisition Company is primarily engaged in manufacturing, fabricating, or processing drugs in pharmaceutical preparations for human or veterinary use. The greater part of the products of these establishments are finished in the form intended for final consumption, such as ampoules, tablets, capsules, vials, ointments, medicinal powders, solutions, and suspensions. Products of this industry consist of two important lines, namely: (1) pharmaceutical preparations promoted primarily to the dental, medical, or veterinary professions, and (2) pharmaceutical preparations promoted primarily to the public.","Private","Corporation","Parent","true","","ANIP Acquisition Company","United States","ANIP Acquisition Company","United States","Pharmaceutical Manufacturing","28340000","Pharmaceutical preparations","2834","Pharmaceutical Preparations","325412","Pharmaceutical Preparation Manufacturing","2120","Manufacture of pharmaceutical preparations","2100","Manufacture of pharmaceuticals, medicinal chemical and botanical products","2120","Manufacture of pharmaceutical preparations","1841","Human Pharmaceutical and Medicinal Product Manufacturing","false","181301115","D&B","Has Not Opted Out of Direct Marketing"
"United Community Bank","","085356780","301 W Main St","","","Perham","Minnesota","56573-1455","United States","1-218-346-5700","","","http://www.ucbankmn.com","1.5876E7","","3.2699399E8","","57","81","United Community Bank is a commercial bank and trust company (accepting deposits) chartered by one of the States or territories.","Private","Corporation","Parent","true","","United Community Bank","United States","United Community Bank","United States","Banking","60220000","State commercial banks","6022","State Commercial Banks","522110","Commercial Banking","64191","Banks","6419","Other monetary intermediation","6419","Other monetary intermediation","6221","Banking","false","44465328","D&B","Has Not Opted Out of Direct Marketing"
"Ericksen, Roed and Associates, Inc.","Ericksen, Roed, Johnston And Sahlman","781080064","2550 University Ave W Ste 201S","","","Saint Paul","Minnesota","55114-1904","United States","1-651-251-7570","","","http://www.eraeng.com","1.9205545E7","","","","55","81","Ericksen, Roed And Associates, Inc. is primarily engaged in providing professional engineering services. Establishments primarily providing and supervising their own engineering staff on temporary contract to other firms are included in this industry.","Private","Corporation","Parent","true","","Ericksen, Roed and Associates, Inc.","United States","Ericksen, Roed and Associates, Inc.","United States","Architecture and Engineering","87110404","Structural engineering","8711","Engineering Services","541330","Engineering Services","71121","Engineering design activities for industrial process and production","7110","Architectural and engineering activities and related technical consultancy","7112","Engineering activities and related technical consultancy","6923","Engineering Design and Engineering Consulting Services","false","49319397","D&B","Has Not Opted Out of Direct Marketing"
